datetime,price,side,is_intraday,unable_to_trade_days
2019-02-01 12:30:00,1609.0,1,True,37
2019-02-01 12:40:00,1458.8,-1,True,37
2019-02-01 13:00:00,1537.5,1,True,37
2019-02-01 13:05:00,1522.55,-1,True,37
2019-02-01 14:30:00,1482.4,1,True,37
2019-02-01 14:35:00,1368.3,-1,True,37
2019-02-01 15:10:00,1186.9999999999998,1,True,37
2019-02-04 09:20:00,1032.55,-1,True,37
2019-02-04 09:35:00,1045.8999999999999,1,True,37
2019-02-04 10:45:00,1057.5,-1,True,37
2019-02-04 10:50:00,1061.15,1,True,37
2019-02-04 10:55:00,1054.7,-1,True,37
2019-02-04 11:05:00,1068.6000000000001,1,True,37
2019-02-04 11:40:00,1060.5,-1,True,37
2019-02-04 11:50:00,1064.25,1,True,37
2019-02-04 12:25:00,1071.25,-1,True,37
2019-02-04 12:30:00,1079.5500000000002,1,True,37
2019-02-04 12:35:00,1064.1,-1,True,37
2019-02-04 14:00:00,1124.55,1,True,37
2019-02-05 09:20:00,853.5999999999999,-1,True,37
2019-02-05 09:35:00,856.7499999999999,1,True,37
2019-02-05 12:40:00,870.4000000000001,-1,True,37
2019-02-05 12:50:00,904.5000000000001,1,True,37
2019-02-05 12:55:00,889.0500000000001,-1,True,37
2019-02-05 13:45:00,906.5500000000001,1,True,37
2019-02-05 13:50:00,887.1999999999999,-1,True,37
2019-02-05 15:10:00,771.9,1,True,37
2019-02-06 09:50:00,658.4,-1,True,37
2019-02-06 10:15:00,677.9,1,True,37
2019-02-06 10:55:00,669.15,-1,True,37
2019-02-06 15:10:00,530.1500000000001,1,True,37
2019-02-07 09:30:00,442.45000000000005,-1,True,37
2019-02-07 10:30:00,441.09999999999997,1,True,37
2019-02-07 11:45:00,410.0,-1,True,37
2019-02-07 15:10:00,19.100000000000005,1,True,37
2019-02-08 09:25:00,1103.7,-1,True,37
2019-02-08 13:40:00,1084.2,1,True,37
2019-02-08 13:55:00,1058.9499999999998,-1,True,37
2019-02-08 14:05:00,1083.5,1,True,37
2019-02-08 14:15:00,1041.8999999999999,-1,True,37
2019-02-08 14:25:00,1061.7,1,True,37
2019-02-08 14:30:00,1052.3,-1,True,37
2019-02-08 15:10:00,963.15,1,True,37
2019-02-11 09:20:00,859.6,-1,True,37
2019-02-11 09:55:00,850.9,1,True,37
2019-02-11 10:05:00,843.1,-1,True,37
2019-02-11 10:30:00,849.05,1,True,37
2019-02-11 10:35:00,836.9000000000001,-1,True,37
2019-02-11 15:10:00,723.1999999999999,1,True,37
2019-02-12 09:20:00,681.2499999999999,-1,True,37
2019-02-12 14:40:00,699.7,1,True,37
2019-02-12 15:00:00,641.2499999999999,-1,True,37
2019-02-12 15:10:00,630.3,1,True,37
2019-02-13 09:20:00,475.3500000000001,-1,True,37
2019-02-13 09:40:00,514.75,1,True,37
2019-02-13 09:50:00,484.20000000000005,-1,True,37
2019-02-13 09:55:00,495.94999999999993,1,True,37
2019-02-13 10:20:00,483.59999999999997,-1,True,37
2019-02-13 13:40:00,480.25,1,True,37
2019-02-13 13:45:00,460.95,-1,True,37
2019-02-13 15:10:00,478.40000000000003,1,True,37
2019-02-14 09:20:00,240.65,-1,True,37
2019-02-14 10:35:00,249.7,1,True,37
2019-02-14 10:40:00,244.7,-1,True,37
2019-02-14 10:50:00,248.35,1,True,37
2019-02-14 11:00:00,239.84999999999997,-1,True,37
2019-02-14 11:10:00,254.99999999999997,1,True,37
2019-02-14 12:20:00,251.39999999999998,-1,True,37
2019-02-14 14:05:00,355.35,1,True,37
2019-02-14 14:50:00,231.00000000000003,-1,True,37
2019-02-14 15:10:00,183.54999999999998,1,True,37
2019-02-15 09:30:00,1231.5,-1,True,37
2019-02-15 09:35:00,1235.3999999999999,1,True,37
2019-02-15 09:40:00,1221.45,-1,True,37
2019-02-15 10:55:00,1251.6499999999999,1,True,37
2019-02-15 13:40:00,1263.3500000000001,-1,True,37
2019-02-15 15:10:00,1088.35,1,True,37
2019-02-18 09:20:00,1075.6,-1,True,37
2019-02-18 09:25:00,1078.0,1,True,37
2019-02-18 09:30:00,1071.65,-1,True,37
2019-02-18 09:40:00,1081.6,1,True,37
2019-02-18 10:15:00,1082.25,-1,True,37
2019-02-18 10:30:00,1087.95,1,True,37
2019-02-18 10:45:00,1078.5,-1,True,37
2019-02-18 10:50:00,1135.25,1,True,37
2019-02-18 11:30:00,1090.8,-1,True,37
2019-02-18 15:10:00,981.1499999999999,1,True,37
2019-02-19 09:20:00,905.1000000000001,-1,True,37
2019-02-19 10:00:00,893.2499999999999,1,True,37
2019-02-19 10:10:00,873.45,-1,True,37
